School_Code:SC_CAT_NC_BP:Town:SC_CAT_NC_BR:SC_CAT_NC_BS:SC_CAT_NC_BT:SC_CAT_NC_BU:SC_V_NC_BV:SC_V_NC_BX:SC_V_NC_BY:SC_V_NC_BZ:SC_V_NC_CA:SC_V_NC_CB:SC_V_NC_CC:SC_V_NC_CD:SC_V_NC_CE:SC_V_NC_CF:SC_V_NC_CG:SC_V_NC_CH:SC_V_NC_CI:SC_V_NC_CJ:SC_V_NC_CK:SC_P_NC_CL:SC_P_NC_CM:SC_P_NC_CN:SC_P_NC_CO:SC_P_NC_CP:SC_P_C_CQ1:SC_P_C_CQ2:SC_P_C_CQ3:SC_P_C_CQ4:SC_P_C_CQ5:SC_P_C_CQ6:SC_P_C_CQ7:SC_P_NC_CR:SC_V_NC_CS:SC_V_NC_CT:SC_V_NC_CU:SC_V_NC_CV
00170305:Public School:Auburn:06,07,08:00170000:Level 2:Level 2:0:0:0:0:0:0:206:210:208:0:0:0:0:0:624:6.1:2.6:6.6:22.8:16.2:1.8:4.2:5.4:85.6:0.3:0.0:2.7:50.6:19.0:69481.0:13185.35:13580.88
00170505:Public School:Auburn:PK,09,10,11,12:00170000:Level 2:Level 2:88:0:0:0:0:0:0:0:0:174:197:175:157:4:795:5.7:2.1:9.6:23.8:15.2:2.1:4.3:6.4:84.0:0.4:0.0:2.8:48.1:17.3:69481.0:13185.35:13580.88
00170010:Public School:Auburn:K,01,02:00170000:Insufficient data:Level 2:0:98:88:0:0:0:0:0:0:0:0:0:0:0:286:5.2:4.2:9.1:28.7:18.2:1.4:3.1:10.1:81.1:0.7:0.0:3.5:52.1:23.0:69481.0:13185.35:13580.88
00170025:Public School:Auburn:K,01,02:00170000:Insufficient data:Level 2:0:93:93:0:0:0:0:0:0:0:0:0:0:0:281:8.9:7.8:7.8:31.3:19.6:2.8:3.9:8.2:81.1:0.0:0.0:3.9:52.3:21.5:69481.0:13185.35:13580.88
00170030:Public School:Auburn:03,04,05:00170000:Level 1:Level 2:0:0:0:188:172:177:0:0:0:0:0:0:0:0:537:6.3:3.2:7.4:26.1:18.2:1.5:3.4:7.6:84.0:0.0:0.0:3.5:49.3:21.7:69481.0:13185.35:13580.88
00180510:Public School:Avon:07,08,09,10,11,12:00180000:Level 2:Level 2:0:0:0:0:0:0:0:59:61:53:49:48:45:4:319:7.2:2.2:16.3:34.8:23.8:37.3:5.6:4.7:48.3:0.6:0.0:3.4:48.3:13.3:67547.0:14046.54:14284.49
00180010:Public School:Avon:PK,K,01,02,03,04,05,06:00180000:Level 1:Level 2:17:51:52:53:57:60:59:0:0:0:0:0:0:0:395:2.8:2.0:14.4:34.4:22.3:23.3:3.8:6.8:59.0:1.3:0.0:5.8:52.2:18.0:67547.0:14046.54:14284.49
00200505:Public School:Hyannis:08,09,10,11,12:00200000:Level 2:Level 2:0:0:0:0:0:0:0:0:377:380:372:393:334:10:1866:10.9:6.2:12.2:36.4:25.5:8.4:2.8:11.5:72.2:0.9:0.4:3.7:48.7:15.3:78757.0:14952.35:15012.81
00200315:Public School:Hyannis:06,07:00200000:Level 2:Level 2:0:0:0:0:0:0:357:397:0:0:0:0:0:0:754:11.8:5.3:17.8:46.8:32.2:8.0:1.7:9.9:74.7:0.5:0.0:5.2:48.7:15.1:78757.0:14952.35:15012.81
00200050:Public School:Marston Mills:04,05:00200000:Level 2:Level 2:0:0:0:0:446:406:0:0:0:0:0:0:0:0:852:20.4:7.3:13.4:48.0:32.3:6.7:2.1:11.7:75.6:0.0:0.4:3.5:52.0:23.4:78757.0:14952.35:15012.81
00200010:Public School:Centerville:K,01,02,03:00200000:Level 1:Level 2:0:69:79:89:0:0:0:0:0:0:0:0:0:0:293:17.1:14.0:15.0:45.7:28.7:4.8:1.4:8.5:82.3:0.3:0.0:2.7:53.9:19.6:78757.0:14952.35:15012.81
00200001:Public School:Hyannis:PK:00200000:Insufficient data:Level 2:126:0:0:0:0:0:0:0:0:0:0:0:0:0:126:22.2:15.1:46.0:66.7:41.3:5.6:2.4:11.1:73.0:0.0:0.0:7.9:54.8:8.3:78757.0:14952.35:15012.81
00200025:Public School:Hyannis:K,01,02,03:00200000:Level 1:Level 2:0:89:90:91:0:0:0:0:0:0:0:0:0:0:356:40.2:37.1:7.3:80.9:57.6:17.1:2.5:27.5:42.7:0.3:0.3:9.6:54.8:22.1:78757.0:14952.35:15012.81
00200005:Public School:West Barnstable:K,01,02,03:00200000:Level 1:Level 2:0:65:67:67:0:0:0:0:0:0:0:0:0:0:260:8.8:7.7:12.7:37.3:28.1:4.6:1.9:6.5:83.5:0.0:0.0:3.5:56.5:24.1:78757.0:14952.35:15012.81
00200045:Public School:Marstons Mills:K,01,02,03:00200000:Level 2:Level 2:0:102:122:113:0:0:0:0:0:0:0:0:0:0:441:4.1:3.6:10.9:31.5:21.5:2.0:0.7:5.2:88.0:0.5:0.0:3.6:50.3:27.6:78757.0:14952.35:15012.81
00230505:Public School:Bedford:PK,09,10,11,12:00230000:Level 1:Level 2:30:0:0:0:0:0:0:0:0:226:206:220:206:0:888:9.6:1.0:16.0:22.7:7.8:7.8:11.4:6.4:68.7:0.0:0.6:5.2:50.6:12.3:79410.0:15697.93:17839.45
00230305:Public School:Bedford:06,07,08:00230000:Level 2:Level 2:0:0:0:0:0:0:191:207:158:0:0:0:0:0:556:16.5:4.3:17.1:28.1:8.8:5.8:15.5:5.9:69.2:0.0:0.0:3.6:50.2:14.5:79410.0:15697.93:17839.45
00230010:Public School:Bedford:K,01,02:00230000:Insufficient data:Level 2:0:200:206:0:0:0:0:0:0:0:0:0:0:0:598:20.2:10.4:8.7:25.3:9.4:5.0:16.7:6.2:65.2:0.0:0.0:6.9:50.2:22.0:79410.0:15697.93:17839.45
00230012:Public School:Bedford:03,04,05:00230000:Level 2:Level 2:0:0:0:202:182:182:0:0:0:0:0:0:0:0:566:17.0:7.8:17.8:32.0:7.8:5.7:15.7:4.4:70.3:0.0:0.0:3.9:53.4:20.5:79410.0:15697.93:17839.45
00240505:Public School:Belchertown:09,10,11,12:00240000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:179:185:175:167:4:710:2.4:0.1:12.0:22.1:13.5:2.0:2.0:4.1:90.3:0.1:0.1:1.4:50.3:14.0:63183.0:12262.88:12591.99
00240006:Public School:Belchertown:04,05,06:00240000:Level 2:Level 2:0:0:0:0:182:191:205:0:0:0:0:0:0:0:578:1.7:0.7:20.8:32.2:18.0:2.6:2.4:4.0:88.4:0.0:0.3:2.2:50.5:22.5:63183.0:12262.88:12591.99
00240005:Public School:Belchertown:PK,K:00240000:Insufficient data:Level 2:29:0:0:0:0:0:0:0:0:0:0:0:0:0:170:0.0:0.0:15.3:31.2:22.9:1.2:1.8:5.3:86.5:0.0:0.0:5.3:44.7:16.4:63183.0:12262.88:12591.99
00240025:Public School:Belchertown:07,08:00240000:Level 2:Level 2:0:0:0:0:0:0:0:188:207:0:0:0:0:0:395:3.0:0.3:18.5:32.2:19.2:2.3:1.5:1.5:92.2:0.0:0.3:2.3:51.9:15.6:63183.0:12262.88:12591.99
